product_id,category_id,description,like_count,product_name,price,quantity,rep_img
53,0,"품목 :?TV사운드바, 사운드바+서브우퍼, 사운드바+서브우퍼+스피커부가기능 :?음성인식(구글어시스턴트)제품정보더보기",0,삼성전자 하만카돈 CITATION 홈시어터 프리미엄 사운드바 풀 패키지 HKCITATWR-B7SS,3090000,100,https://shopping-phinf.pstatic.net/main_2583770/25837705522.20210521173122.jpg?type=f640
54,0,단자 :?HDMI(ARC)지원채널 :?2.1ch품목 :?TV사운드바출력 :?450W재생 :?4K패스스루네트워크 :?블루투스제품정보더보기,0,삼성전자 하만카돈 RADIANCE 2400,3990000,100,https://shopping-phinf.pstatic.net/main_2904419/29044198586.20210930111730.jpg?type=f640
55,0,"지원채널 :?5.1ch품목 :?TV사운드바, 사운드바+서브우퍼, 사운드바+서브우퍼+스피커부가기능 :?음성인식(구글어시스턴트)제품정보더보기",0,삼성전자 하만카돈 CITATION 홈시어터 멀티빔700 BAR 우퍼S 패키지 HKCITAB700-SS,1890000,100,https://shopping-phinf.pstatic.net/main_2584880/25848805522.20210521171341.jpg?type=f640
56,0,"지원채널 :?5.1ch품목 :?TV사운드바, 사운드바+서브우퍼, 사운드바+서브우퍼+스피커부가기능 :?음성인식(구글어시스턴트)제품정보더보기",0,삼성전자 하만카돈 CITATION 홈시어터 타워 우퍼S 패키지 HKCITATWR-B7S,3440000,100,https://shopping-phinf.pstatic.net/main_2584858/25848586522.20210521172345.jpg?type=f640
57,0,"블루투스버전 :?블루투스5.0형태 :?헤드밴드사용시간 :?40시간충전시간 :?2시간음질개선 :?다이나믹드라이버단자 :?USB Type-C부가기능 :?멀티페어링, 핸즈프리, 급속충전저항 :?32Ω용도 :?통화+음악품목 :?블루투스헤드폰무게 :?160g블루투스프로파일 :?HFP, AVRCP, A2DP제품정보더보기",0,삼성전자 JBL T510BT,59000,100,https://shopping-phinf.pstatic.net/main_2900280/29002800586.20210929155312.jpg?type=f640
58,0,"블루투스버전 :?블루투스5.0형태 :?헤드밴드사용시간 :?50시간충전시간 :?2시간음질개선 :?액티브노이즈캔슬링, 다이나믹드라이버단자 :?USB Type-C사운드기능 :?주변소리감지, TalkThru부가기능 :?멀티페어링, 전용어플지원, 급속충전저항 :?32Ω용도 :?통화+음악무게 :?265g블루투스프로파일 :?HFP, AVRCP, A2DP제품정보더보기",0,삼성전자 JBL LIVE 660NC,199000,100,https://shopping-phinf.pstatic.net/main_2884285/28842858586.20221025105452.jpg?type=f640
59,0,블루투스버전 :?블루투스5.0사용시간 :?30시간충전시간 :?2시간품목 :?블루투스헤드폰무게 :?115g제품정보더보기,0,삼성전자 JBL JR310BT,62000,100,https://shopping-phinf.pstatic.net/main_2686996/26869967522.20210929155222.jpg?type=f640
60,0,블루투스버전 :?블루투스5.0배터리용량 :?450mAh충전시간 :?2시간음질개선 :?노이즈캔슬링부가기능 :?핸즈프리저항 :?32Ω용도 :?통화+음악품목 :?블루투스헤드폰무게 :?166g제품정보더보기,0,삼성전자 JBL T660NC,99000,100,https://shopping-phinf.pstatic.net/main_2897111/28971111586.20210929155355.jpg?type=f640
62,0,"블루투스버전 :?블루투스5.0형태 :?헤드밴드음질개선 :?액티브노이즈캔슬링음압감도 :?100dB저항 :?32Ω주파수응답 :?16Hz~20kHz유닛크기 :?40mm용도 :?통화+음악(스테레오), 유무선겸용품목 :?블루투스헤드폰제품정보더보기",0,삼성전자 JBL CLUB ONE,399000,100,https://shopping-phinf.pstatic.net/main_2523479/25234797522.20201224164936.jpg?type=f640
65,0,"유무선 :?유무선겸용드라이버 :?50mm무게 :?418g마이크 :?접이식, 잡음제거연결단자 :?3.5mm(4극)무선방식 :?2.4GHz리모컨 :?마이크음소거, LED작동특징 :?접이식사운드 :?DTS : X전원 :?내장충전지음압감도 :?95dB플러그 :?일자형플러그사용시간 :?43시간충전시간 :?3.5시간채널 :?7.1채널선길이 :?60cm수신거리 :?10m형태 :?헤드밴드색상 :?블랙제품정보더보기",0,삼성전자 JBL QUANTUM 810 퀀텀 무선 게이밍 헤드셋,259000,100,https://shopping-phinf.pstatic.net/main_3437097/34370977618.20220830152619.jpg?type=f640
